xyz,Country,ISO3,Year,temperature
555,NewCaledonia,NCL,2014,22.085775
556,NewZealand,NZL,2014,10.14116583
557,Nicaragua,NIC,2014,25.38608333
558,Niger,NER,2014,28.24891667
559,Nigeria,NGA,2014,27.58426667
560,Niue,NIU,2014,25.17914167
561,NorthKorea,PRK,2014,6.634389167
562,NorthernMarianaIs.,MNP,2014,27.96228333
563,Norway,NOR,2014,2.850131667
564,Oman,OMN,2014,26.234325
565,Pakistan,PAK,2014,20.5278675
566,Palau,PLW,2014,28.051625
567,Panama,PAN,2014,25.980075
568,PapuaNewGuinea,PNG,2014,25.26616667
569,Paraguay,PRY,2014,24.25276667
570,Peru,PER,2014,19.78475
571,Philippines,PHL,2014,25.85749167
572,Poland,POL,2014,9.851759167
573,Portugal,PRT,2014,15.80558667
574,PuertoRico,PRI,2014,25.9647
575,Qatar,QAT,2014,28.27035833
576,Reunion,REU,2014,21.45095
577,Russia,RUS,2014,-4.855844167
578,Rwanda,RWA,2014,19.91720833
579,Samoa,WSM,2014,27.47155833
580,SanMarino,SMR,2014,13.40741333
581,SaoTome&amp;Principe,STP,2014,24.02049167
582,SaudiArabia,SAU,2014,25.834125
583,Senegal,SEN,2014,28.64469167
584,Serbia,SRB,2014,12.11526833
585,Seychelles,SYC,2014,27.59639167
586,SierraLeone,SLE,2014,26.476575
587,Singapore,SGP,2014,27.94964167
588,Slovakia,SVK,2014,9.851275833
589,Slovenia,SVN,2014,10.67653917
590,SolomonIs.,SLB,2014,25.60321667
591,Somalia,SOM,2014,27.5817
592,SouthAfrica,ZAF,2014,18.471675
593,SouthKorea,KOR,2014,11.7220625
594,SouthSudan,SSD,2014,27.64479167
595,Spain,ESP,2014,14.51822667
596,SriLanka,LKA,2014,27.426625
597,St.Kitts&amp;Nevis,KNA,2014,25.36873333
598,St.Lucia,LCA,2014,26.45830833
599,St.Vincent&amp;theGrenadines,VCT,2014,27.495825
600,Sudan,SDN,2014,28.01575
601,Suriname,SUR,2014,26.13505833
602,Swaziland,SWZ,2014,20.66935833
603,Sweden,SWE,2014,3.672251667
604,Switzerland,CHE,2014,7.7625575
605,Syria,SYR,2014,19.03873417
606,Tajikistan,TJK,2014,3.735985
607,Tanzania,TZA,2014,22.99023333
608,Thailand,THA,2014,26.745925
609,TheBahamas,BHS,2014,25.638375
610,TheGambia,GMB,2014,28.02508333
611,TimorLeste,TLS,2014,25.47446667
612,Togo,TGO,2014,27.71985
613,Tonga,TON,2014,25.004775
614,Trinidad&amp;Tobago,TTO,2014,26.71839167
615,Tunisia,TUN,2014,20.96874167
616,Turkey,TUR,2014,12.6198275
617,Turkmenistan,TKM,2014,15.6187175
618,Turks&amp;CaicosIs.,TCA,2014,26.74758333
619,Tuvalu,TUV,2014,28.371525
620,Uganda,UGA,2014,23.482925
621,Ukraine,UKR,2014,9.7050975
622,UnitedArabEmirates,ARE,2014,27.827
623,UnitedKingdom,GBR,2014,9.809685
624,UnitedStates,USA,2014,7.78237
625,Uruguay,URY,2014,18.327175
626,Uzbekistan,UZB,2014,12.43514417
627,Vanuatu,VUT,2014,23.86765
628,Venezuela,VEN,2014,26.028775
629,Vietnam,VNM,2014,24.65445
630,VirginIs.,VIR,2014,26.34921667
631,Yemen,YEM,2014,24.12325
632,Zambia,ZMB,2014,22.16725
633,Zimbabwe,ZWE,2014,21.71048333
634,Afghanistan,AFG,2013,14.01680333
635,Albania,ALB,2013,12.74811333
636,Algeria,DZA,2013,23.33160833
637,AmericanSamoa,ASM,2013,27.54625
638,Andorra,AND,2013,11.58337917
639,Angola,AGO,2013,21.965575
640,Antigua&amp;Barbuda,ATG,2013,26.26926667
641,Argentina,ARG,2013,14.867685
642,Armenia,ARM,2013,7.934695833
643,Aruba,ABW,2013,28.63570833
644,Australia,AUS,2013,22.66150833
645,Austria,AUT,2013,7.17528
646,Azerbaijan,AZE,2013,12.80073667
647,Bahrain,BHR,2013,27.85209167
648,Bangladesh,BGD,2013,24.89361667
649,Barbados,BRB,2013,26.76158333
650,Belarus,BLR,2013,7.78893
651,Belgium,BEL,2013,9.930676667
652,Belize,BLZ,2013,25.7937
653,Benin,BEN,2013,28.09655
654,Bermuda,BMU,2013,21.225
655,Bhutan,BTN,2013,12.190745
656,Bolivia,BOL,2013,20.56765833
657,Bosnia&amp;Herzegovina,BIH,2013,10.9579425
658,Botswana,BWA,2013,22.1765
659,Brazil,BRA,2013,25.6654
660,BritishVirginIs.,VGB,2013,26.176425
661,Brunei,BRN,2013,25.87976667
662,Bulgaria,BGR,2013,12.07775417
663,BurkinaFaso,BFA,2013,28.829975
664,Burundi,BDI,2013,20.77575833
665,Cambodia,KHM,2013,27.36764167
666,Cameroon,CMR,2013,24.98190833
667,Canada,CAN,2013,-6.46496
